0,1604521,272364,8939
1,1625135,275989,9135
2,1645112,279419,9317
3,1661324,282365,9504
4,1679386,285213,9677
5,1699369,288477,9860
6,1720261,292004,10045
7,1740969,295599,10226
8,1761910,299080,10412
9,1782846,302718,10589
10,1800690,305703,10772
11,1821328,309278,10952
12,1842316,312911,11133
13,1863278,316448,11314
14,1883326,319646,11500
15,1904242,322710,11682
16,1925231,326326,11870
17,1943679,330123,12054
18,1963921,333867,12229
19,1983932,337751,12417
20,2003963,341586,12615
21,2023996,345537,12799
22,2042218,349500,12998
23,2063240,353590,13187
24,2084311,357681,13384
25,2109202,362087,13579
26,2133775,366550,13767
27,2158770,371096,17654
28,2183763,375961,17843
29,2206105,379884,18030
30,2230247,384797,18229
31,2250256,389717,18418
32,2270717,395005,18612
33,2293612,400683,18816
34,2318254,407492,19021
35,2348396,414735,19217
36,2377948,422183,19408
37,2404046,428850,19614
38,2417857,433100,19811
39,2440184,439890,20007
40,2466745,447624,20228
41,2493429,455409,20424
42,2522993,463875,20649
43,2548439,471012,20844
44,2573691,478024,21072
45,2590078,483133,21276
46,2612599,489680,21501
47,2643464,498555,21713
48,2677014,507996,25648
49,2705122,516296,25856
50,2738229,525803,26075
51,2773412,535946,26281
52,2793614,541493,26481
53,2818943,549321,26658
54,2852011,558420,26834
55,2883862,567059,27034
56,2915372,576067,27245
57,2950589,585236,27453
58,2985782,594326,27663
59,3006993,600438,27813
60,3032744,607382,28001
61,3055850,613378,28124
62,3089459,621997,28277
63,3124076,629961,28471
64,3156679,639435,28607
65,3191850,647166,28788
66,3215842,652037,28944
67,3233034,657129,29068
68,3256711,663437,29259
69,3286526,670145,29405
70,3320012,676848,29554
71,3353435,683702,29687
72,3379580,689977,29838
73,3386625,691575,29976
74,3403397,696190,30123
75,3428910,702776,30236
76,3457205,710067,30344
77,3482894,716670,30470
78,3509997,722832,30526
79,3534937,729619,30710
80,3552710,733860,30812
81,3567927,738020,30927
82,3592221,744400,31051
83,3614738,750098,31146
84,3640863,756412,31283
85,3667968,762865,31369
86,3693813,768895,31369
87,3710694,772896,31474
88,3724872,776546,31568
89,3751583,782695,31870
90,3778648,788930,31938
91,3804340,794584,32037
92,3827824,800142,32142
93,3850122,805302,32262
94,3865360,808714,32324
95,3878323,811768,32396
96,3892353,814829,32463
97,3908125,818297,32535
98,3922567,821564,32609
99,3929873,824985,32665
100,3952298,828169,32742
101,3961345,829999,32834
102,3975007,832929,32914
103,3988070,835662,33009
104,4003363,838614,33098
105,4027591,843355,33158
106,4050681,846088,33223
107,4077357,849371,33305
108,4092566,851171,33357
109,4111951,853974,33419
110,4135223,856951,33512
111,4158359,859740,33577
112,4181976,862417,33648
113,4206371,865549,33702
